idx,rot_sign,SMILES,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral
000229,1,C=CCN1C[C@H](C)N([C@H](c2ccc(C(N)=O)cc2)c2cccc(O)c2)C[C@H]1C,C1,True,C1,True
000230,1,COc1ccc(CCN2CCC[C@@H]2CN2c3ccccc3COc3ccccc32)cc1,C1,True,C1,True
000231,1,NC1=N[C@H](Cc2ccncc2)CS1,C1,True,C1,True
000232,1,NC1=N[C@H](Cc2ccccc2)CS1,C1,True,C1,True
000233,1,NCCCC[C@@H]1CSC(N)=N1,C1,True,C1,True
000234,1,NC1=N[C@H](Cc2cccc(C(=O)O)c2)CS1,C1,True,C1,True
000235,1,C=C[C@](O)(CN(CCO)Cc1ccccc1)c1ccc(F)c(F)c1,C1,True,C1,True
000236,1,O=C(O)[C@H](CS)NC(c1ccccc1)(c1ccccc1)c1ccccc1,C1,True,C1,True
000237,1,O=c1cc(C(F)(F)F)c2cc(N3CCC[C@@H]3[C@@H](O)C(F)(F)F)ccc2[nH]1,C1,True,C1,True
000238,1,CNCC[C@H](Oc1cccc2ccccc12)c1ccsc1,C1,True,C1,True
000239,1,Cc1ccc([C@@H](C(=O)OC(C)(C)C)C2CCCC2)cc1,C1,True,C1,True
000241,1,CCC(=O)NC[C@@H](CO)c1cccc2ccc(OC)cc12,C1,True,C1,True
000242,1,O=c1cc(NCCCN[C@@H]2CCOc3c(Br)cc(Br)cc32)[nH]c2ccccc12,C1,True,C1,True
000243,1,CC1(C)[C@H](C(=O)[O-])CC[C@]1(C)C(=O)[O-],C1,True,C1,True
000244,1,CC1(C)[C@@H]2C[C@H]3OB(CCl)O[C@@]3(C)[C@H]1C2,C1,True,C1,True
000245,1,Cc1ccc(F)cc1[C@H]1COC(N)=N1,C1,True,C1,True
000246,1,C[C@@H]1CNCc2ccc(N3CCOCC3)nc2O1,C1,True,C1,True
000247,1,O=C1N2c3ccccc3C(=O)[C@@]2(c2c[nH]c3ccccc23)[C@H]2O[C@@H](CO)[C@H](O)[C@@]12O,C1,True,C1,True
000248,1,O=C1CC[C@]2(C=C(Br)c3ccccc3C2=O)O1,C1,True,C1,True
000250,1,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)N(C)C,C1,True,C1,True
000251,1,CCc1cccc(C[C@@H](Cl)B2O[C@@H]3C[C@@H]4C[C@@H](C4(C)C)[C@]3(C)O2)c1,C1,True,C1,True
000252,1,COC(=O)N1C[C@@H](c2ccc(OC)c(OC3Cc4ccccc4C3)c2)[C@](C)([C@H](C)O)C1,C1,True,C1,True
000253,1,CCOC(=O)N1CC[C@@H](NS(=O)(=O)c2ccc(NC(=O)c3ncccc3C)c3ccccc23)[C@@H](C)C1,C1,True,C1,True
000254,1,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Br)oc23)[C@H]1CO,C1,True,C1,True
000255,1,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4c(F)cccc4F)oc23)[C@H]1CO,C1,True,C1,True
000256,1,COc1ccc(Br)c(-c2cc(=O)c3c(O)cc(O)c([C@H]4CCN(C)[C@@H]4CO)c3o2)c1,C1,True,C1,True
000257,1,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4cccnc4Cl)oc23)[C@H]1CO,C1,True,C1,True
