id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product,if_computed_rotation_positive,if_triple_positive
3198944,[H][C@@](C)(N(C)C)[C@@]([H])(O)C1=CC=CC=C1,C[C@@H]([C@@H](O)c1ccccc1)N(C)C,45.3,37.88,179.263,179.263,37.88,-27.4368408291843,1.0,1.0
3202124,[H][C@@](O)(C1=CC=CC=C1)C1=CC=CC2=C1C=CC=C2,O[C@H](c1ccccc1)c1cccc2ccccc12,40.32,184.58,234.298,234.298,184.58,-67.3796171016605,1.0,1.0
3202444,[H][C@](O)(C1=CC=CC=C1)C1=CC=C(OC)C=C1,COc1ccc([C@@H](O)c2ccccc2)cc1,-6.43,443.46,214.264,214.264,443.46,-45.3161508010926,1.0,1.0
3204824,[H][C@](C)(OC1=CC=C(Cl)C=C1)C(=O)OCC,CCOC(=O)[C@@H](C)Oc1ccc(Cl)cc1,32.6,156.52,228.675,228.675,156.52,26.9066552334732,1.0,1.0
3537186,C[C@@H](O)C1=NC=CC=C1,C[C@@H](O)c1ccccn1,19.5,38.26,123.155,123.155,38.26,14.6481384265002,1.0,1.0
3538362,C[C@@H](CCO)CC\C=C(/C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC[C@@H](C)CCO,-26.4,-418.81,224.388,-224.388,418.81,57.9894119121823,-1.0,1.0
3542667,CC(C)(C)OC(=O)N1CCC[C@H]1CO,CC(C)(C)OC(=O)N1CCC[C@H]1CO,-36.8,-10.9,201.266,-201.266,10.9,39.4211618701082,-1.0,1.0
3545149,CC1(C)OC[C@H](O1)[C@@H](CO)N=N#N,CC1(C)OC[C@@H]([C@@H](CO)N=[N+]=[N-])O1,10.2,74.37,187.199,187.199,74.37,-21.850140280448,1.0,1.0
3549668,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,-54.3,-58.95,229.276,-229.276,58.95,-19.8556281187206,-1.0,1.0
3552683,O=C1C[C@@H](CC2=CC=C3OCOC3=C2)CO1,O=C1C[C@@H](Cc2ccc3c(c2)OCO3)CO1,46.8,-125.08,220.224,-220.224,125.08,-29.7137546542433,-1.0,1.0
3587898,C[C@H](O)C1=CC=CO1,C[C@H](O)c1ccco1,-7.69,56.4,112.128,112.128,56.4,10.4230386294619,1.0,1.0
3588145,CC1(C)OC[C@@H](O1)[C@@H]1O[C@H]1CO,CC1(C)OC[C@H]([C@@H]2O[C@H]2CO)O1,-19.5,-57.44,174.196,-174.196,57.44,-10.7823097106553,-1.0,1.0
