id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed
36178833,COC(=O)[C@H](C)NS(=O)(=O)C1=NC=CC=C1,COC(=O)[C@H](C)NS(=O)(=O)c1ccccn1,-2.6,15.1
36247202,CCCC1(CCC)O[C@H](C)C2=CC=CC=C12,CCCC1(CCC)O[C@H](C)c2ccccc21,-13.0,-49.16
36247203,COC1=CC=C2[C@@H](C)OC(C)(C)C2=C1,COc1ccc2c(c1)C(C)(C)O[C@@H]2C,-18.0,-35.26
36247209,CC1(C)O[C@](C)(C2=CC=CC=C12)C1=CC=CC=C1,CC1(C)O[C@@](C)(c2ccccc2)c2ccccc21,36.7,-304.71
36247211,C[C@@H]1CC2(CO1)CC1=CC=CC=C1C2,C[C@@H]1CC2(CO1)Cc1ccccc1C2,-68.9,53.44
36247212,CC[C@@H]1CC2(CO1)CC1=CC=CC=C1C2,CC[C@@H]1CC2(CO1)Cc1ccccc1C2,-82.4,100.18
36247213,FC1=NC=CC(C[C@@H]2CCCO2)=C1,Fc1cc(C[C@@H]2CCCO2)ccn1,27.8,119.07
36247228,C[C@H]1OC(C)(C)C2=CC=CC(Br)=C12,C[C@H]1OC(C)(C)c2cccc(Br)c21,40.9,35.51
36375677,[H][C@@]12O[C@@]([H])(C3=C(C=CC3)C1(CC)CC)C(=O)C=C2,CCC1(CC)C2=C(CC=C2)[C@@H]2O[C@H]1C=CC2=O,-330.0,-67.16
36375679,[H][C@@]12O[C@@]([H])(C=CC1=O)C1(CCCC1)C1=C2CC=C1,O=C1C=C[C@@H]2O[C@H]1C1=C(C=CC1)C21CCCC1,-250.0,-174.68
36375680,[H][C@@]12O[C@@]([H])(C=CC1=O)C1(CCC1)C1=C2CC=C1,O=C1C=C[C@@H]2O[C@H]1C1=C(C=CC1)C21CCC1,-376.0,-102.95
36375681,[H][C@@]12O[C@@]([H])(C3=C(C=CC3)[C@H]1C(C)(C)C)C(=O)C=C2,CC(C)(C)[C@@H]1C2=C(CC=C2)[C@@H]2O[C@H]1C=CC2=O,-417.0,-53.46
36375694,[H][C@@]12O[C@@]([H])(CC[C@@H]1O)C(C)(C)C1=C2CCC1,CC1(C)C2=C(CCC2)[C@@H]2O[C@H]1CC[C@@H]2O,-69.0,-77.03
36375695,CC1(C)[C@@H](O)CC[C@H](O)CC2=C1CCC2,CC1(C)C2=C(CCC2)C[C@@H](O)CC[C@@H]1O,-12.0,6.19
36452452,[H][C@@]12CCC(=[N]#N)C(=O)[C@@]1(C)CCCC2(C)C,CC1(C)CCC[C@]2(C)C(=O)C(=[N+]=[N-])CC[C@@H]12,44.4,-9.49
36452460,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CCCC2(C)C,CC(=O)[C@H]1CC[C@H]2C(C)(C)CCC[C@]12C,122.8,112.59
36597705,COC1=CC=C2C=C[C@](C)(O)C(=O)C2=C1,COc1ccc2c(c1)C(=O)[C@@](C)(O)C=C2,11.2,-785.26
36629882,[H][C@]1(CCCCN1C(=O)OC(C)(C)C)[C@@](C)(O)C=C,C=C[C@](C)(O)[C@@H]1CCCCN1C(=O)OC(C)(C)C,-82.1,-20.5
36629883,[H][C@]1(CCCCN1C(=O)OC(C)(C)C)[C@](C)(O)C=C,C=C[C@@](C)(O)[C@@H]1CCCCN1C(=O)OC(C)(C)C,-98.3,25.58
36663212,COC(=O)C1=CC=CC=C(C1)[C@H]1CCCC(=O)O1,COC(=O)C1=CC=CC=C([C@H]2CCCC(=O)O2)C1,71.1,564.75
36753936,OC[C@H](NCC#CC1=CC=CC=C1)C1=CC=CC=C1,OC[C@H](NCC#Cc1ccccc1)c1ccccc1,199.1,-460.75
36753987,COC1=CC(C)=C(N2CC[C@H](C)C2)C(C)=C1,COc1cc(C)c(N2CC[C@H](C)C2)c(C)c1,-19.5,-42.2
36786034,O[C@H]([C@@H]1CCCC=C1)C1=CC=CC=C1,O[C@@H](c1ccccc1)[C@H]1C=CCCC1,11.54,38.65
36806461,C[C@H](C=C)C#CC1=CC=CC=C1,C=C[C@@H](C)C#Cc1ccccc1,1.4,-418.4
36806475,C=C[C@H](CCC1=CC=CC=C1)C#CC1=CSC=C1,C=C[C@@H](C#Cc1ccsc1)CCc1ccccc1,1.8,38.19
36806476,C=C[C@H](CCC1=CC=CC=C1)C#CC1=CC=CN=C1,C=C[C@@H](C#Cc1cccnc1)CCc1ccccc1,-9.0,-473.56
36806477,C=C[C@H](CCC1=CC=CC=C1)C#CC1CC1,C=C[C@@H](C#CC1CC1)CCc1ccccc1,9.2,-386.17
36806478,OCC#C[C@@H](CCC1=CC=CC=C1)C=C,C=C[C@@H](C#CCO)CCc1ccccc1,3.4,153.63
