id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs
4188366,COC(=O)[C@](C)(N)CC1=CNC2=C1C=CC=C2,COC(=O)[C@](C)(N)Cc1c[nH]c2ccccc12,9.65,159.12,232.28300000000004,232.28300000000004,159.12
4190216,[H][C@@](C)(N=C=N[C@@]([H])(C)C1=CC=CC=C1)C1=CC=CC=C1,C[C@H](N=C=N[C@@H](C)c1ccccc1)c1ccccc1,11.1,-419.56,250.34500000000003,-250.34500000000003,419.56
4229674,[H][C@](C)(CO)CCO,C[C@@H](CO)CCO,24.0,-111.83,104.149,-104.149,111.83
4229757,CCC[C@H]1O[C@@H]1CO,CCC[C@H]1O[C@@H]1CO,31.7,6.36,116.15999999999998,116.15999999999998,6.36
4229970,[H][C@@]12CCCN1[C@H](CCC)CCC2,CCC[C@@H]1CCC[C@@H]2CCCN21,-104.4,-104.17,167.296,-167.296,104.17
4230303,[H][C@@]12CCCN1[C@H](CCCCCC)CCC2,CCCCCC[C@@H]1CCC[C@@H]2CCCN12,-77.44999999999999,-105.62,209.37699999999995,-209.37699999999995,105.62
4230722,O=C1N[C@H]2C[C@@H]1C=C2,O=C1N[C@@H]2C=C[C@H]1C2,562.0,540.73,109.12799999999999,109.12799999999999,540.73
4232146,[H][C@](C)(O)C1=CC=CC(=C1)C(F)(F)F,C[C@@H](O)c1cccc(C(F)(F)F)c1,22.7,34.14,190.16399999999996,190.16399999999996,34.14
4232765,CC[C@@H](CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC[C@@H](CC(=O)c1ccccc1)c1ccccc1,5.3,28.18,238.33,238.33,28.18
4232913,[H][C@@]1(CC2=CC=CC=C2)NC(=O)N(C)C1=O,CN1C(=O)N[C@@H](Cc2ccccc2)C1=O,-191.23,-197.93,204.22899999999998,-204.22899999999998,197.93
4235094,COC(=O)[C@H](O)CC1=CC=C(OC)C(OC)=C1,COC(=O)[C@H](O)Cc1ccc(OC)c(OC)c1,10.1,96.25,240.25499999999997,240.25499999999997,96.25
4241981,[H][C@@](O)(CO)C=C,C=C[C@H](O)CO,-123.9,93.96,88.106,88.106,93.96
4246216,CCOC(=O)C[C@@H](C)O[Si](C)(C)C(C)(C)C,CCOC(=O)C[C@@H](C)O[Si](C)(C)C(C)(C)C,-26.0,21.76,246.42299999999994,246.42299999999994,21.76
4250168,COC1=CC=C(COC[C@H](C)C=O)C=C1,COc1ccc(COC[C@H](C)C=O)cc1,30.7,153.61,208.257,208.257,153.61
4250381,C[Si](C)(C)C#C[C@H](O)COCC1=CC=CC=C1,C[Si](C)(C)C#C[C@H](O)COCc1ccccc1,3.9,323.28,248.39799999999997,248.39799999999997,323.28
4251271,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C=C,C=C[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,30.0,369.95,247.33799999999997,247.33799999999997,369.95
